Month,Inflasi
Dec-02,0.00%
Jan-03,8.68%
Feb-03,7.60%
Mar-03,7.17%
April 2003,7.62%
May-03,7.15%
Jun-03,6.98%
Jul-03,6.27%
Aug-03,6.51%
September 2003,6.33%
Oct-03,6.48%
Nov-03,5.53%
Dec-03,5.16%
Jan-04,4.82%
Feb-04,4.60%
Mar-04,5.11%
April 2004,5.92%
May-04,6.47%
Jun-04,6.83%
Jul-04,7.20%
Aug-04,6.67%
September 2004,6.27%
Oct-04,6.22%
Nov-04,6.18%
Dec-04,6.40%
Jan-05,7.32%
Feb-05,7.15%
Mar-05,8.81%
April 2005,8.12%
May-05,7.40%
Jun-05,7.42%
Jul-05,7.84%
Aug-05,8.33%
September 2005,9.06%
Oct-05,17.89%
Nov-05,18.38%
Dec-05,17.11%
Jan-06,17.03%
Feb-06,17.92%
Mar-06,15.74%
April 2006,15.40%
May-06,15.60%
Jun-06,15.53%
Jul-06,15.15%
Aug-06,14.90%
September 2006,14.55%
Oct-06,6.29%
Nov-06,5.27%
Dec-06,6.60%
Jan-07,6.26%
Feb-07,6.30%
Mar-07,6.52%
April 2007,6.29%
May-07,6.01%
Jun-07,5.77%
Jul-07,6.06%
Aug-07,6.51%
September 2007,6.95%
Oct-07,6.88%
Nov-07,6.71%
Dec-07,6.59%
Jan-08,7.36%
Feb-08,7.40%
Mar-08,8.17%
April 2008,8.96%
May-08,10.38%
Jun-08,11.03%
Jul-08,11.90%
Aug-08,11.85%
September 2008,12.14%
Oct-08,11.77%
Nov-08,11.68%
Dec-08,11.06%
Jan-09,9.17%
Feb-09,8.60%
Mar-09,7.92%
April 2009,7.31%
May-09,6.04%
Jun-09,3.65%
Jul-09,2.71%
Aug-09,2.75%
September 2009,2.83%
Oct-09,2.57%
Nov-09,2.41%
Dec-09,2.78%
Jan-10,3.72%
Feb-10,3.81%
Mar-10,3.43%
April 2010,3.91%
May-10,4.16%
Jun-10,5.05%
Jul-10,6.22%
Aug-10,6.44%
September 2010,5.80%
Oct-10,5.67%
Nov-10,6.33%
Dec-10,6.96%
Jan-11,7.02%
Feb-11,6.84%
Mar-11,6.65%
April 2011,6.16%
May-11,5.98%
Jun-11,5.54%
Jul-11,4.61%
Aug-11,4.79%
September 2011,4.61%
Oct-11,4.42%
Nov-11,4.15%
Dec-11,3.79%
Jan-12,3.65%
Feb-12,3.56%
Mar-12,3.97%
April 2012,4.50%
May-12,4.45%
Jun-12,4.53%
Jul-12,4.56%
Aug-12,4.58%
September 2012,4.31%
Oct-12,4.61%
Nov-12,4.32%
Dec-12,4.30%
Jan-13,4.57%
Feb-13,5.31%
Mar-13,5.90%
April 2013,5.57%
May-13,5.47%
Jun-13,5.90%
Jul-13,8.61%
Aug-13,8.79%
September 2013,8.40%
Oct-13,8.32%
Nov-13,8.37%
Dec-13,8.38%
Jan-14,8.22%
Feb-14,7.75%
Mar-14,7.32%
April 2014,7.25%
May-14,7.32%
Jun-14,6.70%
Jul-14,4.53%
Aug-14,3.99%
September 2014,4.53%
Oct-14,4.83%
Nov-14,6.23%
Dec-14,8.36%
Jan-15,6.96%
Feb-15,6.29%
Mar-15,6.38%
April 2015,6.79%
May-15,7.15%
Jun-15,7.26%
Jul-15,7.26%
Aug-15,7.18%
September 2015,6.83%
Oct-15,6.25%
Nov-15,4.89%
Dec-15,3.35%
Jan-16,4.14%
Feb-16,4.42%
Mar-16,4.45%
April 2016,3.60%
May-16,3.33%
Jun-16,3.45%
Jul-16,3.21%
Aug-16,2.79%
September 2016,3.07%
Oct-16,3.31%
Nov-16,3.58%
Dec-16,3.02%
Jan-17,3.49%
Feb-17,3.83%
Mar-17,3.61%
April 2017,4.17%
May-17,4.33%
Jun-17,4.37%
Jul-17,3.88%
Aug-17,3.82%
September 2017,3.72%
Oct-17,3.58%
Nov-17,3.30%
Dec-17,3.61%
Jan-18,3.25%
Feb-18,3.18%
Mar-18,3.40%
April 2018,3.41%
May-18,3.23%
Jun-18,3.12%
Jul-18,3.18%
Aug-18,3.20%
September 2018,2.88%
Oct-18,3.16%
Nov-18,3.23%
Dec-18,3.13%
Jan-19,2.82%
Feb-19,2.57%
Mar-19,2.48%
April 2019,2.83%
May-19,3.32%
Jun-19,3.28%
